Cost Center,Budget Orgn,Budget Unit,Account,Account Title,2021-2022 FTE,2022-2023 FTE,2022-2023 Approved,2022-2023 Adopted,Fund,Fund Title,Budget Organization Number,Budget Organization Name,Budget Term,Budget Year,Cost Center Name,Amount
1.0,1002521001000000 - FISCAL,100-2521-001-000,353.0,POSTAGE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2022-2023 Proposed,2022-01-01,District Office,2500.0
1.0,1002521001000000 - FISCAL,100-2521-001-000,354.0,ADVERTISING,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2019-2020 Actual,2019-01-01,District Office,0.0
1.0,1002521001000000 - FISCAL,100-2521-001-000,354.0,ADVERTISING,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002521001000000 - FISCAL,100-2521-001-000,354.0,ADVERTISING,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2021-2022 Budget,2021-01-01,District Office,800.0
1.0,1002521001000000 - FISCAL,100-2521-001-000,354.0,ADVERTISING,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2022-2023 Proposed,2022-01-01,District Office,800.0
1.0,1002521001000000 - FISCAL,100-2521-001-000,355.0,PRINTING BINDING,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2019-2020 Actual,2019-01-01,District Office,1722.33
1.0,1002521001000000 - FISCAL,100-2521-001-000,355.0,PRINTING BINDING,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2020-2021 Actual,2020-01-01,District Office,1696.42
1.0,1002521001000000 - FISCAL,100-2521-001-000,355.0,PRINTING BINDING,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2021-2022 Budget,2021-01-01,District Office,1500.0
1.0,1002521001000000 - FISCAL,100-2521-001-000,355.0,PRINTING BINDING,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2022-2023 Proposed,2022-01-01,District Office,1500.0
1.0,1002521001000000 - FISCAL,100-2521-001-000,389.0,OTHER NON-INSTR PROF/TECH,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2019-2020 Actual,2019-01-01,District Office,3709.42
1.0,1002521001000000 - FISCAL,100-2521-001-000,389.0,OTHER NON-INSTR PROF/TECH,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2020-2021 Actual,2020-01-01,District Office,130.54
1.0,1002521001000000 - FISCAL,100-2521-001-000,389.0,OTHER NON-INSTR PROF/TECH,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2021-2022 Budget,2021-01-01,District Office,4500.0
1.0,1002521001000000 - FISCAL,100-2521-001-000,389.0,OTHER NON-INSTR PROF/TECH,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2022-2023 Proposed,2022-01-01,District Office,4500.0
1.0,1002521001000000 - FISCAL,100-2521-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2019-2020 Actual,2019-01-01,District Office,4402.04
1.0,1002521001000000 - FISCAL,100-2521-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2020-2021 Actual,2020-01-01,District Office,1300.28
1.0,1002521001000000 - FISCAL,100-2521-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2021-2022 Budget,2021-01-01,District Office,1800.0
1.0,1002521001000000 - FISCAL,100-2521-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2022-2023 Proposed,2022-01-01,District Office,1800.0
1.0,1002521001000000 - FISCAL,100-2521-001-000,460.0,NONCONSUM ITEMS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2019-2020 Actual,2019-01-01,District Office,2507.81
1.0,1002521001000000 - FISCAL,100-2521-001-000,460.0,NONCONSUM ITEMS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2020-2021 Actual,2020-01-01,District Office,717.91
1.0,1002521001000000 - FISCAL,100-2521-001-000,460.0,NONCONSUM ITEMS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2021-2022 Budget,2021-01-01,District Office,1200.0
1.0,1002521001000000 - FISCAL,100-2521-001-000,460.0,NONCONSUM ITEMS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2022-2023 Proposed,2022-01-01,District Office,1200.0
1.0,1002521001000000 - FISCAL,100-2521-001-000,470.0,COMPUTER SOFTWARE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2019-2020 Actual,2019-01-01,District Office,13637.76
1.0,1002521001000000 - FISCAL,100-2521-001-000,470.0,COMPUTER SOFTWARE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2020-2021 Actual,2020-01-01,District Office,10679.88
1.0,1002521001000000 - FISCAL,100-2521-001-000,470.0,COMPUTER SOFTWARE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2021-2022 Budget,2021-01-01,District Office,6000.0
1.0,1002521001000000 - FISCAL,100-2521-001-000,470.0,COMPUTER SOFTWARE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2022-2023 Proposed,2022-01-01,District Office,6000.0
1.0,1002521001000000 - FISCAL,100-2521-001-000,640.0,DUES AND FEES,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2019-2020 Actual,2019-01-01,District Office,10838.76
1.0,1002521001000000 - FISCAL,100-2521-001-000,640.0,DUES AND FEES,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2020-2021 Actual,2020-01-01,District Office,10027.34
1.0,1002521001000000 - FISCAL,100-2521-001-000,640.0,DUES AND FEES,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2021-2022 Budget,2021-01-01,District Office,10000.0
1.0,1002521001000000 - FISCAL,100-2521-001-000,640.0,DUES AND FEES,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002521001000000,FISCAL,2022-2023 Proposed,2022-01-01,District Office,10000.0
1.0,1002522001000000 - BUDGET,100-2522-001-000,353.0,POSTAGE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002522001000000,BUDGET,2019-2020 Actual,2019-01-01,District Office,0.0
1.0,1002522001000000 - BUDGET,100-2522-001-000,353.0,POSTAGE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002522001000000,BUDGET,2020-2021 Actual,2020-01-01,District Office,19.8
1.0,1002522001000000 - BUDGET,100-2522-001-000,353.0,POSTAGE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002522001000000,BUDGET,2021-2022 Budget,2021-01-01,District Office,100.0
1.0,1002522001000000 - BUDGET,100-2522-001-000,353.0,POSTAGE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002522001000000,BUDGET,2022-2023 Proposed,2022-01-01,District Office,100.0
1.0,1002522001000000 - BUDGET,100-2522-001-000,354.0,ADVERTISING,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002522001000000,BUDGET,2019-2020 Actual,2019-01-01,District Office,1006.93
1.0,1002522001000000 - BUDGET,100-2522-001-000,354.0,ADVERTISING,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002522001000000,BUDGET,2020-2021 Actual,2020-01-01,District Office,1442.99
1.0,1002522001000000 - BUDGET,100-2522-001-000,354.0,ADVERTISING,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002522001000000,BUDGET,2021-2022 Budget,2021-01-01,District Office,800.0
1.0,1002522001000000 - BUDGET,100-2522-001-000,354.0,ADVERTISING,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002522001000000,BUDGET,2022-2023 Proposed,2022-01-01,District Office,800.0
1.0,1002522001000000 - BUDGET,100-2522-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002522001000000,BUDGET,2019-2020 Actual,2019-01-01,District Office,128.05
1.0,1002522001000000 - BUDGET,100-2522-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002522001000000,BUDGET,2020-2021 Actual,2020-01-01,District Office,342.98
1.0,1002522001000000 - BUDGET,100-2522-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002522001000000,BUDGET,2021-2022 Budget,2021-01-01,District Office,300.0
1.0,1002522001000000 - BUDGET,100-2522-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002522001000000,BUDGET,2022-2023 Proposed,2022-01-01,District Office,300.0
1.0,1002524001000000 - PAYROLL,100-2524-001-000,322.0,REPAIR & MAINT SERVICE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2019-2020 Actual,2019-01-01,District Office,0.0
1.0,1002524001000000 - PAYROLL,100-2524-001-000,322.0,REPAIR & MAINT SERVICE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002524001000000 - PAYROLL,100-2524-001-000,322.0,REPAIR & MAINT SERVICE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2021-2022 Budget,2021-01-01,District Office,100.0
1.0,1002524001000000 - PAYROLL,100-2524-001-000,322.0,REPAIR & MAINT SERVICE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2022-2023 Proposed,2022-01-01,District Office,100.0
1.0,1002524001000000 - PAYROLL,100-2524-001-000,340.0,TRAVEL,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2019-2020 Actual,2019-01-01,District Office,647.37
1.0,1002524001000000 - PAYROLL,100-2524-001-000,340.0,TRAVEL,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2020-2021 Actual,2020-01-01,District Office,-458.46
1.0,1002524001000000 - PAYROLL,100-2524-001-000,340.0,TRAVEL,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2021-2022 Budget,2021-01-01,District Office,400.0
1.0,1002524001000000 - PAYROLL,100-2524-001-000,340.0,TRAVEL,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2022-2023 Proposed,2022-01-01,District Office,400.0
1.0,1002524001000000 - PAYROLL,100-2524-001-000,353.0,POSTAGE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2019-2020 Actual,2019-01-01,District Office,7.1
1.0,1002524001000000 - PAYROLL,100-2524-001-000,353.0,POSTAGE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002524001000000 - PAYROLL,100-2524-001-000,353.0,POSTAGE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2021-2022 Budget,2021-01-01,District Office,1000.0
1.0,1002524001000000 - PAYROLL,100-2524-001-000,353.0,POSTAGE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2022-2023 Proposed,2022-01-01,District Office,1000.0
1.0,1002524001000000 - PAYROLL,100-2524-001-000,355.0,PRINTING BINDING,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2019-2020 Actual,2019-01-01,District Office,0.0
1.0,1002524001000000 - PAYROLL,100-2524-001-000,355.0,PRINTING BINDING,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002524001000000 - PAYROLL,100-2524-001-000,355.0,PRINTING BINDING,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2021-2022 Budget,2021-01-01,District Office,200.0
1.0,1002524001000000 - PAYROLL,100-2524-001-000,355.0,PRINTING BINDING,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2022-2023 Proposed,2022-01-01,District Office,200.0
1.0,1002524001000000 - PAYROLL,100-2524-001-000,389.0,OTHER NON-INSTR PROF/TECH,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2019-2020 Actual,2019-01-01,District Office,0.0
1.0,1002524001000000 - PAYROLL,100-2524-001-000,389.0,OTHER NON-INSTR PROF/TECH,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002524001000000 - PAYROLL,100-2524-001-000,389.0,OTHER NON-INSTR PROF/TECH,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2021-2022 Budget,2021-01-01,District Office,200.0
1.0,1002524001000000 - PAYROLL,100-2524-001-000,389.0,OTHER NON-INSTR PROF/TECH,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2022-2023 Proposed,2022-01-01,District Office,200.0
1.0,1002524001000000 - PAYROLL,100-2524-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2019-2020 Actual,2019-01-01,District Office,1066.49
1.0,1002524001000000 - PAYROLL,100-2524-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2020-2021 Actual,2020-01-01,District Office,81.81
1.0,1002524001000000 - PAYROLL,100-2524-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2021-2022 Budget,2021-01-01,District Office,800.0
1.0,1002524001000000 - PAYROLL,100-2524-001-000,410.0,CONSUMB SUP MAT,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2022-2023 Proposed,2022-01-01,District Office,800.0
1.0,1002524001000000 - PAYROLL,100-2524-001-000,640.0,DUES AND FEES,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2019-2020 Actual,2019-01-01,District Office,1932.81
1.0,1002524001000000 - PAYROLL,100-2524-001-000,640.0,DUES AND FEES,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2020-2021 Actual,2020-01-01,District Office,2088.75
1.0,1002524001000000 - PAYROLL,100-2524-001-000,640.0,DUES AND FEES,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2021-2022 Budget,2021-01-01,District Office,1600.0
1.0,1002524001000000 - PAYROLL,100-2524-001-000,640.0,DUES AND FEES,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002524001000000,PAYROLL,2022-2023 Proposed,2022-01-01,District Office,1600.0
1.0,1002528001000000 - RISK MGMT SRV,100-2528-001-000,651.0,LIABILITY INS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002528001000000,RISK MGMT SRV,2019-2020 Actual,2019-01-01,District Office,22443.0
1.0,1002528001000000 - RISK MGMT SRV,100-2528-001-000,651.0,LIABILITY INS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002528001000000,RISK MGMT SRV,2020-2021 Actual,2020-01-01,District Office,56340.0
1.0,1002528001000000 - RISK MGMT SRV,100-2528-001-000,651.0,LIABILITY INS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002528001000000,RISK MGMT SRV,2021-2022 Budget,2021-01-01,District Office,30000.0
1.0,1002528001000000 - RISK MGMT SRV,100-2528-001-000,651.0,LIABILITY INS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002528001000000,RISK MGMT SRV,2022-2023 Proposed,2022-01-01,District Office,30000.0
1.0,1002529001000000 - OTHER FISCAL SERVICES,100-2529-001-000,640.0,DUES AND FEES,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002529001000000,OTHER FISCAL SERVICES,2019-2020 Actual,2019-01-01,District Office,2890.0
1.0,1002529001000000 - OTHER FISCAL SERVICES,100-2529-001-000,640.0,DUES AND FEES,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002529001000000,OTHER FISCAL SERVICES,2020-2021 Actual,2020-01-01,District Office,495.0
1.0,1002529001000000 - OTHER FISCAL SERVICES,100-2529-001-000,640.0,DUES AND FEES,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002529001000000,OTHER FISCAL SERVICES,2021-2022 Budget,2021-01-01,District Office,3000.0
1.0,1002529001000000 - OTHER FISCAL SERVICES,100-2529-001-000,640.0,DUES AND FEES,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002529001000000,OTHER FISCAL SERVICES,2022-2023 Proposed,2022-01-01,District Office,3000.0
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,114.0,MGR/CONFIDENTIAL,1.0,1.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2019-2020 Actual,2019-01-01,District Office,21462.48
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,114.0,MGR/CONFIDENTIAL,1.0,1.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2020-2021 Actual,2020-01-01,District Office,20079.66
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,114.0,MGR/CONFIDENTIAL,1.0,1.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2021-2022 Budget,2021-01-01,District Office,89400.0
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,114.0,MGR/CONFIDENTIAL,1.0,1.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2022-2023 Proposed,2022-01-01,District Office,91705.0
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,211.0,PERS EMPLOYER CONTRIBUTN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2019-2020 Actual,2019-01-01,District Office,2937.39
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,211.0,PERS EMPLOYER CONTRIBUTN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2020-2021 Actual,2020-01-01,District Office,1921.04
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,211.0,PERS EMPLOYER CONTRIBUTN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2021-2022 Budget,2021-01-01,District Office,5900.0
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,211.0,PERS EMPLOYER CONTRIBUTN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2022-2023 Proposed,2022-01-01,District Office,11637.28
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,212.0,PERS PICK-UP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2019-2020 Actual,2019-01-01,District Office,1287.72
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,212.0,PERS PICK-UP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2020-2021 Actual,2020-01-01,District Office,860.1
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,212.0,PERS PICK-UP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2021-2022 Budget,2021-01-01,District Office,5400.0
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,212.0,PERS PICK-UP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2022-2023 Proposed,2022-01-01,District Office,6838.96
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,213.0,PERS UAL SERIES 2002,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2019-2020 Actual,2019-01-01,District Office,1429.76
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,213.0,PERS UAL SERIES 2002,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2020-2021 Actual,2020-01-01,District Office,934.31
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,213.0,PERS UAL SERIES 2002,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2021-2022 Budget,2021-01-01,District Office,5300.0
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,213.0,PERS UAL SERIES 2002,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2022-2023 Proposed,2022-01-01,District Office,6268.3
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,214.0,PERS UAL SERIES 2003,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2019-2020 Actual,2019-01-01,District Office,1906.34
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,214.0,PERS UAL SERIES 2003,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2020-2021 Actual,2020-01-01,District Office,1245.68
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,214.0,PERS UAL SERIES 2003,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2021-2022 Budget,2021-01-01,District Office,7300.0
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,214.0,PERS UAL SERIES 2003,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2022-2023 Proposed,2022-01-01,District Office,5132.95
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,220.0,SOC SEC ADMIN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2019-2020 Actual,2019-01-01,District Office,1685.93
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,220.0,SOC SEC ADMIN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2020-2021 Actual,2020-01-01,District Office,1501.18
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,220.0,SOC SEC ADMIN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2021-2022 Budget,2021-01-01,District Office,6900.0
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,220.0,SOC SEC ADMIN,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2022-2023 Proposed,2022-01-01,District Office,7198.84
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,231.0,WRKRS COMP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2019-2020 Actual,2019-01-01,District Office,649.63
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,231.0,WRKRS COMP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2020-2021 Actual,2020-01-01,District Office,541.65
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,231.0,WRKRS COMP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2021-2022 Budget,2021-01-01,District Office,3200.0
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,231.0,WRKRS COMP,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2022-2023 Proposed,2022-01-01,District Office,504.38
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,233.0,PFMLI,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2019-2020 Actual,2019-01-01,District Office,0.0
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,233.0,PFMLI,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,233.0,PFMLI,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2021-2022 Budget,2021-01-01,District Office,200.0
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,233.0,PFMLI,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2022-2023 Proposed,2022-01-01,District Office,366.82
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,241.0,MED-DEN-VIS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2019-2020 Actual,2019-01-01,District Office,3866.72
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,241.0,MED-DEN-VIS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2020-2021 Actual,2020-01-01,District Office,4042.45
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,241.0,MED-DEN-VIS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2021-2022 Budget,2021-01-01,District Office,21000.0
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,241.0,MED-DEN-VIS,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2022-2023 Proposed,2022-01-01,District Office,21600.0
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,318.0,PROF DEV/NON-INSTRUCTTION,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2019-2020 Actual,2019-01-01,District Office,85.0
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,318.0,PROF DEV/NON-INSTRUCTTION,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2020-2021 Actual,2020-01-01,District Office,998.37
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,318.0,PROF DEV/NON-INSTRUCTTION,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2021-2022 Budget,2021-01-01,District Office,500.0
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,318.0,PROF DEV/NON-INSTRUCTTION,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2022-2023 Proposed,2022-01-01,District Office,500.0
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,322.0,REPAIR & MAINT SERVICE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2019-2020 Actual,2019-01-01,District Office,105.0
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,322.0,REPAIR & MAINT SERVICE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2020-2021 Actual,2020-01-01,District Office,0.0
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,322.0,REPAIR & MAINT SERVICE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2021-2022 Budget,2021-01-01,District Office,500.0
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,322.0,REPAIR & MAINT SERVICE,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2022-2023 Proposed,2022-01-01,District Office,500.0
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,340.0,TRAVEL,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2019-2020 Actual,2019-01-01,District Office,0.0
1.0,1002541001000000 - PLANT MGMT,100-2541-001-000,340.0,TRAVEL,0.0,0.0,0.0,0.0,100,GENERAL FUND,1002541001000000,PLANT MGMT,2020-2021 Actual,2020-01-01,District Office,0.0
